profile,actor,DPS,increase,
composite,ViV_Butc_AMoC_TotS_BoP,11767,16.34%,
composite,ViV_Butc_ST_MB_Chak,11760,16.27%,
composite,ToE_Butc_ST_MB_WI,11746,16.14%,
composite,ToE_HB_AMoC_MB_WI,11745,16.13%,
composite,ToE_Butc_ST_MB_Chak,11730,15.98%,
composite,ToE_Butc_AMoC_MB_Chak,11729,15.96%,
composite,AP_HB_ST_MB_Chak,11709,15.77%,
composite,ToE_HB_ST_MB_WI,11695,15.63%,
composite,ToE_HB_AMoC_MB_BoP,11651,15.19%,
composite,ViV_Butc_AMoC_MB_Chak,11643,15.12%,
composite,ToE_Butc_ST_TotS_Chak,11639,15.08%,
composite,ToE_HB_ST_MB_BoP,11630,14.99%,
composite,ViV_Butc_BS_TotS_Chak,11581,14.50%,
composite,AP_Butc_AMoC_TotS_Chak,11575,14.45%,
composite,ToE_HB_AMoC_MB_Chak,11548,14.18%,
composite,ToE_HB_ST_MB_Chak,11496,13.67%,
composite,ToE_Butc_AMoC_TotS_Chak,11422,12.93%,
composite,ViV_Butc_ST_TotS_Chak,11380,12.52%,
composite,ViV_Butc_AMoC_TotS_Chak,10934,8.11%,
composite,Base,10114,0.00%,
single_target,ViV_GT_BS_FS_BoP,12438,30.36%,
single_target,AP_GT_BS_TotS_WI,12419,30.15%,
single_target,ViV_GT_BS_TotS_BoP,12401,29.97%,
single_target,AP_GT_BS_TotS_BoP,12370,29.64%,
single_target,ViV_GT_BS_TotS_WI,12356,29.49%,
single_target,ViV_GT_BS_FS_Chak,12343,29.36%,
single_target,ViV_GT_BS_FS_WI,12322,29.14%,
single_target,AP_GT_BS_FS_WI,12265,28.54%,
single_target,AP_GT_BS_FS_BoP,12265,28.54%,
single_target,ViV_GT_BS_TotS_Chak,12256,28.45%,
single_target,AP_GT_BS_TotS_Chak,12232,28.19%,
single_target,AP_GT_BS_FS_Chak,12198,27.83%,
single_target,AP_HB_BS_TotS_WI,12185,27.70%,
single_target,ToE_GT_BS_FS_BoP,12139,27.22%,
single_target,ToE_GT_BS_TotS_WI,12118,27.00%,
single_target,ViV_HB_BS_FS_BoP,12118,26.99%,
single_target,ToE_GT_BS_TotS_BoP,12116,26.98%,
single_target,ViV_GT_BS_MB_BoP,12099,26.80%,
single_target,ViV_HB_BS_TotS_BoP,12094,26.75%,
single_target,ViV_HB_BS_TotS_WI,12094,26.75%,
single_target,ToE_GT_BS_FS_WI,12079,26.59%,
single_target,ViV_HB_BS_FS_WI,12065,26.44%,
single_target,AP_HB_BS_TotS_BoP,12045,26.23%,
single_target,ToE_GT_BS_FS_Chak,12027,26.04%,
single_target,ViV_HB_BS_FS_Chak,12025,26.03%,
single_target,AP_HB_BS_FS_WI,12020,25.97%,
single_target,AP_GT_AMoC_TotS_WI,12016,25.93%,
single_target,ViV_GT_AMoC_FS_BoP,11999,25.75%,
single_target,AP_HB_BS_FS_BoP,11986,25.62%,
single_target,ToE_GT_BS_TotS_Chak,11957,25.31%,
single_target,ViV_HB_BS_TotS_Chak,11946,25.20%,
single_target,ViV_GT_AMoC_FS_Chak,11939,25.13%,
single_target,ViV_GT_AMoC_TotS_BoP,11937,25.10%,
single_target,ViV_GT_ST_FS_BoP,11931,25.04%,
single_target,ViV_GT_AMoC_TotS_WI,11929,25.01%,
single_target,ViV_GT_BS_MB_WI,11927,25.00%,
single_target,AP_GT_BS_MB_BoP,11923,24.95%,
single_target,ViV_GT_AMoC_FS_WI,11922,24.94%,
single_target,AP_HB_BS_TotS_Chak,11917,24.89%,
single_target,ViV_GT_ST_TotS_BoP,11907,24.79%,
single_target,AP_HB_BS_FS_Chak,11905,24.76%,
single_target,AP_GT_BS_MB_WI,11902,24.74%,
single_target,AP_GT_AMoC_TotS_BoP,11899,24.70%,
single_target,AP_GT_ST_TotS_WI,11898,24.69%,
single_target,AP_Butc_BS_TotS_WI,11888,24.59%,
single_target,AP_GT_AMoC_FS_WI,11887,24.57%,
single_target,ViV_GT_ST_FS_Chak,11880,24.50%,
single_target,AP_GT_ST_TotS_BoP,11872,24.42%,
single_target,ViV_GT_ST_TotS_WI,11863,24.32%,
single_target,AP_GT_AMoC_FS_BoP,11849,24.18%,
single_target,ToE_HB_BS_TotS_WI,11846,24.15%,
single_target,ViV_GT_ST_FS_WI,11834,24.03%,
single_target,ViV_GT_AMoC_TotS_Chak,11829,23.97%,
single_target,ToE_HB_BS_FS_BoP,11817,23.84%,
single_target,ViV_GT_ST_TotS_Chak,11813,23.81%,
single_target,ViV_Butc_BS_FS_BoP,11811,23.78%,
single_target,ToE_HB_BS_FS_WI,11811,23.78%,
single_target,ToE_GT_BS_MB_BoP,11809,23.76%,
single_target,AP_GT_AMoC_TotS_Chak,11809,23.76%,
single_target,AP_GT_AMoC_FS_Chak,11805,23.72%,
single_target,ToE_HB_BS_TotS_BoP,11801,23.67%,
single_target,AP_GT_ST_TotS_Chak,11793,23.59%,
single_target,ViV_Butc_BS_FS_WI,11781,23.47%,
single_target,AP_HB_AMoC_TotS_WI,11778,23.44%,
single_target,ViV_GT_BS_MB_Chak,11776,23.41%,
single_target,ViV_Butc_BS_TotS_WI,11773,23.38%,
single_target,AP_GT_ST_FS_BoP,11748,23.12%,
single_target,ToE_GT_BS_MB_WI,11748,23.12%,
single_target,AP_Butc_BS_FS_WI,11743,23.06%,
single_target,AP_GT_ST_FS_WI,11735,22.98%,
single_target,AP_Butc_BS_TotS_BoP,11735,22.98%,
single_target,ViV_Butc_BS_TotS_BoP,11735,22.98%,
single_target,AP_GT_ST_FS_Chak,11728,22.91%,
single_target,ViV_HB_BS_MB_BoP,11711,22.74%,
single_target,AP_Butc_BS_FS_BoP,11708,22.70%,
single_target,ToE_HB_BS_FS_Chak,11706,22.68%,
single_target,ViV_HB_AMoC_FS_BoP,11699,22.60%,
single_target,ToE_GT_AMoC_TotS_WI,11692,22.53%,
single_target,ToE_GT_AMoC_FS_BoP,11683,22.44%,
single_target,ToE_GT_AMoC_FS_WI,11675,22.35%,
single_target,ViV_HB_AMoC_TotS_WI,11667,22.27%,
single_target,AP_HB_BS_MB_WI,11664,22.24%,
single_target,ViV_HB_AMoC_FS_WI,11661,22.21%,
single_target,ViV_HB_BS_MB_WI,11660,22.20%,
single_target,AP_GT_BS_MB_Chak,11658,22.18%,
single_target,AP_HB_ST_TotS_WI,11657,22.17%,
single_target,AP_HB_AMoC_FS_WI,11647,22.06%,
single_target,ToE_GT_AMoC_TotS_BoP,11646,22.05%,
single_target,ViV_HB_AMoC_FS_Chak,11639,21.97%,
single_target,ViV_HB_AMoC_TotS_BoP,11633,21.91%,
single_target,ToE_GT_AMoC_FS_Chak,11632,21.91%,
single_target,ToE_HB_BS_TotS_Chak,11632,21.90%,
single_target,ViV_HB_ST_FS_BoP,11618,21.76%,
single_target,ToE_GT_ST_FS_BoP,11608,21.65%,
single_target,ToE_GT_ST_TotS_WI,11607,21.65%,
single_target,ViV_HB_ST_TotS_WI,11604,21.61%,
single_target,ToE_GT_ST_TotS_BoP,11600,21.57%,
single_target,ViV_HB_ST_TotS_BoP,11599,21.56%,
single_target,ViV_GT_ST_MB_BoP,11598,21.55%,
single_target,ViV_Butc_BS_FS_Chak,11598,21.55%,
single_target,AP_HB_AMoC_TotS_BoP,11581,21.37%,
single_target,ViV_HB_ST_FS_WI,11579,21.35%,
single_target,ViV_GT_AMoC_MB_BoP,11573,21.29%,
single_target,ToE_GT_ST_FS_WI,11571,21.26%,
single_target,ViV_HB_ST_FS_Chak,11567,21.22%,
single_target,AP_HB_BS_MB_BoP,11557,21.12%,
single_target,ToE_GT_ST_FS_Chak,11555,21.10%,
single_target,AP_Butc_BS_FS_Chak,11547,21.01%,
single_target,AP_HB_AMoC_FS_BoP,11538,20.92%,
single_target,AP_HB_ST_TotS_BoP,11538,20.92%,
single_target,AP_Butc_BS_MB_WI,11537,20.91%,
single_target,ToE_GT_AMoC_TotS_Chak,11535,20.89%,
single_target,ToE_Butc_BS_TotS_WI,11533,20.86%,
single_target,ToE_Butc_BS_FS_WI,11528,20.82%,
single_target,ToE_GT_BS_MB_Chak,11517,20.70%,
single_target,ViV_HB_AMoC_TotS_Chak,11516,20.69%,
single_target,AP_HB_AMoC_FS_Chak,11515,20.68%,
single_target,ViV_HB_ST_TotS_Chak,11506,20.58%,
single_target,ToE_GT_ST_TotS_Chak,11503,20.55%,
single_target,AP_HB_AMoC_TotS_Chak,11497,20.49%,
single_target,AP_HB_ST_FS_WI,11492,20.43%,
single_target,ToE_Butc_BS_FS_BoP,11489,20.40%,
single_target,AP_Butc_BS_MB_BoP,11486,20.37%,
single_target,ToE_HB_BS_MB_WI,11482,20.33%,
single_target,AP_HB_ST_TotS_Chak,11479,20.31%,
single_target,AP_HB_ST_FS_BoP,11467,20.17%,
single_target,ViV_GT_AMoC_MB_WI,11458,20.09%,
single_target,AP_GT_AMoC_MB_WI,11457,20.07%,
single_target,ViV_GT_ST_MB_WI,11448,19.97%,
single_target,ViV_Butc_BS_MB_BoP,11443,19.92%,
single_target,AP_HB_ST_FS_Chak,11431,19.79%,
single_target,AP_GT_AMoC_MB_BoP,11422,19.70%,
single_target,ViV_HB_BS_MB_Chak,11419,19.68%,
single_target,ToE_HB_BS_MB_BoP,11419,19.68%,
single_target,ToE_Butc_BS_TotS_BoP,11419,19.67%,
single_target,AP_GT_ST_MB_BoP,11416,19.65%,
single_target,ToE_HB_AMoC_TotS_WI,11416,19.64%,
single_target,ToE_HB_AMoC_FS_WI,11409,19.57%,
single_target,AP_GT_ST_MB_WI,11386,19.32%,
single_target,ToE_HB_AMoC_FS_BoP,11380,19.26%,
single_target,AP_Butc_ST_TotS_WI,11370,19.16%,
single_target,ViV_Butc_BS_MB_WI,11367,19.13%,
single_target,AP_Butc_AMoC_TotS_WI,11367,19.12%,
single_target,ToE_Butc_BS_FS_Chak,11362,19.08%,
single_target,ViV_Butc_AMoC_FS_BoP,11340,18.85%,
single_target,ViV_Butc_AMoC_FS_WI,11340,18.85%,
single_target,ViV_GT_ST_MB_Chak,11339,18.83%,
single_target,ToE_HB_ST_TotS_WI,11338,18.82%,
single_target,ToE_HB_AMoC_TotS_BoP,11334,18.78%,
single_target,AP_HB_BS_MB_Chak,11332,18.76%,
single_target,AP_Butc_AMoC_FS_WI,11324,18.68%,
single_target,ToE_HB_AMoC_FS_Chak,11316,18.59%,
single_target,ViV_GT_AMoC_MB_Chak,11309,18.52%,
single_target,ToE_GT_AMoC_MB_BoP,11300,18.43%,
single_target,ToE_GT_ST_MB_BoP,11297,18.40%,
single_target,ToE_HB_ST_FS_WI,11296,18.39%,
single_target,ToE_GT_AMoC_MB_WI,11292,18.34%,
single_target,ViV_Butc_ST_FS_BoP,11290,18.32%,
single_target,ToE_HB_ST_FS_BoP,11284,18.26%,
single_target,ViV_Butc_ST_TotS_WI,11281,18.22%,
single_target,ToE_HB_ST_TotS_BoP,11280,18.22%,
single_target,ToE_Butc_BS_MB_BoP,11268,18.09%,
single_target,ViV_Butc_ST_FS_WI,11261,18.02%,
single_target,ToE_Butc_BS_MB_WI,11249,17.89%,
single_target,ToE_GT_ST_MB_WI,11247,17.87%,
single_target,AP_Butc_AMoC_FS_BoP,11240,17.80%,
single_target,ViV_Butc_AMoC_TotS_WI,11238,17.78%,
single_target,ViV_Butc_ST_TotS_BoP,11232,17.71%,
single_target,AP_GT_AMoC_MB_Chak,11229,17.68%,
single_target,AP_Butc_BS_TotS_Chak,11228,17.67%,
single_target,ToE_HB_ST_FS_Chak,11227,17.66%,
single_target,AP_GT_ST_MB_Chak,11223,17.62%,
single_target,AP_HB_AMoC_MB_WI,11221,17.60%,
single_target,AP_Butc_ST_TotS_BoP,11212,17.51%,
single_target,ToE_HB_AMoC_TotS_Chak,11210,17.49%,
single_target,ViV_HB_ST_MB_BoP,11203,17.41%,
single_target,AP_Butc_ST_FS_WI,11194,17.31%,
single_target,ViV_HB_AMoC_MB_BoP,11193,17.30%,
single_target,ViV_HB_AMoC_MB_WI,11189,17.26%,
single_target,ToE_HB_ST_TotS_Chak,11174,17.11%,
single_target,AP_Butc_ST_FS_BoP,11173,17.10%,
single_target,ViV_HB_ST_MB_WI,11173,17.10%,
single_target,ToE_HB_BS_MB_Chak,11165,17.01%,
single_target,AP_Butc_BS_MB_Chak,11161,16.97%,
single_target,ViV_Butc_AMoC_FS_Chak,11158,16.93%,
single_target,AP_Butc_AMoC_FS_Chak,11152,16.87%,
single_target,AP_HB_ST_MB_WI,11137,16.72%,
single_target,AP_Butc_AMoC_TotS_BoP,11132,16.67%,
single_target,ViV_Butc_ST_FS_Chak,11131,16.65%,
single_target,ViV_Butc_BS_TotS_Chak,11113,16.47%,
single_target,ViV_Butc_AMoC_TotS_BoP,11107,16.40%,
single_target,AP_Butc_AMoC_MB_WI,11097,16.30%,
single_target,ToE_Butc_AMoC_FS_WI,11095,16.27%,
single_target,AP_Butc_ST_FS_Chak,11076,16.08%,
single_target,ToE_GT_ST_MB_Chak,11073,16.05%,
single_target,ToE_GT_AMoC_MB_Chak,11072,16.04%,
single_target,AP_HB_AMoC_MB_BoP,11069,16.00%,
single_target,ToE_Butc_BS_TotS_Chak,11057,15.88%,
single_target,AP_HB_ST_MB_BoP,11052,15.82%,
single_target,ToE_Butc_AMoC_TotS_WI,11047,15.77%,
single_target,ToE_Butc_AMoC_FS_BoP,11042,15.73%,
single_target,AP_Butc_ST_MB_WI,11037,15.67%,
single_target,ToE_Butc_ST_TotS_WI,11025,15.54%,
single_target,ToE_HB_AMoC_MB_WI,11021,15.50%,
single_target,ViV_Butc_BS_MB_Chak,11015,15.44%,
single_target,AP_Butc_ST_MB_BoP,11005,15.34%,
single_target,ToE_Butc_ST_FS_WI,11003,15.31%,
single_target,AP_Butc_AMoC_MB_BoP,10997,15.25%,
single_target,ViV_Butc_ST_MB_BoP,10995,15.23%,
single_target,ViV_HB_ST_MB_Chak,10980,15.07%,
single_target,ToE_HB_ST_MB_WI,10973,14.99%,
single_target,ViV_HB_AMoC_MB_Chak,10962,14.89%,
single_target,ToE_Butc_AMoC_FS_Chak,10961,14.87%,
single_target,ToE_Butc_ST_FS_BoP,10959,14.85%,
single_target,ToE_Butc_BS_MB_Chak,10958,14.84%,
single_target,ToE_HB_AMoC_MB_BoP,10936,14.61%,
single_target,AP_HB_AMoC_MB_Chak,10918,14.43%,
single_target,ToE_Butc_ST_TotS_BoP,10917,14.41%,
single_target,ViV_Butc_ST_MB_WI,10904,14.28%,
single_target,ToE_HB_ST_MB_BoP,10898,14.21%,
