profile,actor,DPS,increase,
composite,xalzaixs_veiled_eye_340,12330,3.23%,
composite,tiny_electromental_in_a_jar_340,12330,3.23%,
composite,frenetic_corpuscle_340,12330,3.23%,
composite,kul_tiran_cannonball_runner_340,12329,3.23%,
composite,mchimbas_ritual_bandages_340,12327,3.21%,
composite,kul_tiran_cannonball_runner_335,12313,3.09%,
composite,tiny_electromental_in_a_jar_335,12313,3.09%,
composite,mchimbas_ritual_bandages_335,12308,3.05%,
composite,tiny_electromental_in_a_jar_330,12295,2.94%,
composite,kul_tiran_cannonball_runner_330,12294,2.94%,
composite,mchimbas_ritual_bandages_330,12292,2.91%,
composite,kul_tiran_cannonball_runner_325,12282,2.83%,
composite,tiny_electromental_in_a_jar_325,12281,2.82%,
composite,mchimbas_ritual_bandages_325,12276,2.78%,
composite,tiny_electromental_in_a_jar_320,12265,2.69%,
composite,kul_tiran_cannonball_runner_320,12264,2.68%,
composite,mchimbas_ritual_bandages_320,12261,2.66%,
composite,kul_tiran_cannonball_runner_315,12253,2.58%,
composite,tiny_electromental_in_a_jar_315,12250,2.56%,
composite,mchimbas_ritual_bandages_315,12247,2.54%,
composite,tiny_electromental_in_a_jar_310,12235,2.44%,
composite,kul_tiran_cannonball_runner_310,12235,2.43%,
composite,mchimbas_ritual_bandages_310,12233,2.42%,
composite,Darkmoon_Deck_Blockades_300,12209,2.22%,
composite,Darkmoon_Deck_Fathoms_300,12209,2.22%,
composite,galecallers_boons_385,12150,1.72%,
composite,galecallers_boons_380,12146,1.69%,
composite,galecallers_boons_375,12141,1.65%,
composite,galecallers_boons_370,12137,1.61%,
composite,galecallers_boons_365,12132,1.57%,
composite,galecallers_boons_360,12129,1.55%,
composite,galecallers_boons_355,12124,1.51%,
composite,galecallers_boons_350,12120,1.47%,
composite,galecallers_boons_345,12115,1.44%,
composite,galecallers_boons_340,12111,1.40%,
composite,galecallers_boons_335,12108,1.37%,
composite,galecallers_boons_330,12101,1.32%,
composite,galecallers_boons_325,12099,1.30%,
composite,galecallers_boons_320,12096,1.27%,
composite,galecallers_boons_315,12090,1.23%,
composite,galecallers_boons_310,12085,1.18%,
composite,Base,11944,0.00%,
single_target,dead_eye_spyglass_385,12093,12.75%,
single_target,dead_eye_spyglass_380,12051,12.36%,
single_target,dead_eye_spyglass_375,12010,11.98%,
single_target,dead_eye_spyglass_370,11968,11.59%,
single_target,dead_eye_spyglass_365,11931,11.24%,
single_target,dead_eye_spyglass_360,11891,10.87%,
single_target,dead_eye_spyglass_355,11850,10.48%,
single_target,dead_eye_spyglass_350,11819,10.20%,
single_target,dead_eye_spyglass_345,11782,9.85%,
single_target,dead_eye_spyglass_340,11747,9.53%,
single_target,dead_eye_spyglass_335,11715,9.23%,
single_target,dead_eye_spyglass_330,11677,8.87%,
single_target,dead_eye_spyglass_325,11649,8.61%,
single_target,dead_eye_spyglass_320,11619,8.33%,
single_target,dead_eye_spyglass_315,11588,8.04%,
single_target,dead_eye_spyglass_310,11556,7.75%,
single_target,spiritbound_voodoo_burl_385,11526,7.46%,
single_target,lustrous_golden_plumage_385,11523,7.44%,
single_target,spiritbound_voodoo_burl_380,11493,7.16%,
single_target,lustrous_golden_plumage_380,11490,7.13%,
single_target,spiritbound_voodoo_burl_375,11466,6.90%,
single_target,construct_overcharger_385,11465,6.90%,
single_target,lustrous_golden_plumage_375,11462,6.87%,
single_target,landois_scrutiny_385,11440,6.66%,
single_target,spiritbound_voodoo_burl_370,11438,6.65%,
single_target,construct_overcharger_380,11434,6.60%,
single_target,lustrous_golden_plumage_370,11433,6.60%,
single_target,spiritbound_voodoo_burl_365,11412,6.40%,
single_target,landois_scrutiny_380,11411,6.39%,
single_target,construct_overcharger_375,11407,6.36%,
single_target,lustrous_golden_plumage_365,11404,6.33%,
single_target,spiritbound_voodoo_burl_360,11385,6.15%,
single_target,landois_scrutiny_375,11382,6.12%,
single_target,lustrous_golden_plumage_360,11380,6.10%,
single_target,construct_overcharger_370,11379,6.09%,
single_target,spiritbound_voodoo_burl_355,11359,5.91%,
single_target,landois_scrutiny_370,11356,5.88%,
single_target,lustrous_golden_plumage_355,11355,5.86%,
single_target,construct_overcharger_365,11354,5.86%,
single_target,spiritbound_voodoo_burl_350,11337,5.70%,
single_target,landois_scrutiny_365,11331,5.65%,
single_target,lustrous_golden_plumage_350,11331,5.64%,
single_target,construct_overcharger_360,11327,5.61%,
single_target,spiritbound_voodoo_burl_345,11310,5.45%,
single_target,lustrous_golden_plumage_345,11307,5.42%,
single_target,landois_scrutiny_360,11306,5.41%,
single_target,construct_overcharger_355,11306,5.41%,
single_target,spiritbound_voodoo_burl_340,11292,5.28%,
single_target,lustrous_golden_plumage_340,11286,5.23%,
single_target,landois_scrutiny_355,11283,5.20%,
single_target,frenetic_corpuscle_385,11283,5.20%,
single_target,construct_overcharger_350,11282,5.19%,
single_target,xalzaixs_veiled_eye_385,11281,5.18%,
